Time,Tumor,Osteoclasts,Osteoblasts,OC_OB_Ratio
0,52,100,192,0.5208
1,56,96,199,0.4824
2,60,94,203,0.4631
3,65,102,214,0.4766
4,67,110,214,0.5140
5,78,110,212,0.5189
6,81,102,223,0.4574
7,89,104,224,0.4643
8,93,106,224,0.4732
9,94,114,226,0.5044
10,98,120,227,0.5286
11,108,123,231,0.5325
12,124,122,235,0.5191
13,131,126,231,0.5455
14,146,135,227,0.5947
15,160,140,222,0.6306
16,179,142,215,0.6605
17,192,142,209,0.6794
18,215,154,206,0.7476
19,225,160,201,0.7960
20,254,171,197,0.8680
21,271,187,195,0.9590
22,288,175,187,0.9358
23,313,188,174,1.0805
24,344,209,170,1.2294
25,394,227,163,1.3926
26,441,251,157,1.5987
27,487,286,144,1.9861
28,512,300,135,2.2222
29,568,335,129,2.5969
30,619,381,112,3.4018
31,712,445,106,4.1981
32,794,557,103,5.4078
33,911,696,97,7.1753
34,1033,910,90,10.1111
35,1219,1197,83,14.4217
36,1460,1703,75,22.7067
37,1831,2578,72,35.8056
38,2432,4403,66,66.7121
39,3737,8288,61,135.8689
40,7175,15571,57,273.1754
41,13897,29240,52,562.3077
42,26968,55034,48,1146.5417
43,52276,100000,43,2325.5814
44,100000,100000,42,2380.9524
45,100000,100000,39,2564.1026
46,100000,100000,35,2857.1429
47,100000,100000,32,3125.0000
48,100000,100000,32,3125.0000
49,100000,100000,31,3225.8065
50,100000,100000,30,3333.3333
51,100000,100000,30,3333.3333
52,100000,100000,30,3333.3333
53,100000,100000,27,3703.7037
54,100000,100000,26,3846.1538
55,100000,100000,24,4166.6667
56,100000,100000,23,4347.8261
57,100000,100000,21,4761.9048
58,100000,100000,20,5000.0000
59,100000,100000,18,5555.5556
60,100000,100000,16,6250.0000
61,100000,100000,15,6666.6667
62,100000,100000,15,6666.6667
63,100000,100000,14,7142.8571
64,100000,100000,14,7142.8571
65,100000,100000,14,7142.8571
66,100000,100000,14,7142.8571
67,100000,100000,13,7692.3077
68,100000,100000,11,9090.9091
69,100000,100000,10,10000.0000
70,100000,100000,10,10000.0000
71,100000,100000,8,12500.0000
72,100000,100000,8,12500.0000
73,100000,100000,8,12500.0000
74,100000,100000,7,14285.7143
75,100000,100000,6,16666.6667
76,100000,100000,6,16666.6667
77,100000,100000,5,20000.0000
78,100000,100000,5,20000.0000
79,100000,100000,5,20000.0000
80,100000,100000,4,25000.0000
81,100000,100000,4,25000.0000
82,100000,100000,4,25000.0000
83,100000,100000,4,25000.0000
84,100000,100000,4,25000.0000
85,100000,100000,3,33333.3333
86,100000,100000,3,33333.3333
87,100000,100000,3,33333.3333
88,100000,100000,2,50000.0000
89,100000,100000,2,50000.0000
90,100000,100000,2,50000.0000
91,100000,100000,2,50000.0000
92,100000,100000,2,50000.0000
93,100000,100000,1,100000.0000
94,100000,100000,1,100000.0000
95,100000,100000,0,0.0000
96,100000,100000,0,0.0000
97,100000,100000,0,0.0000
98,100000,100000,0,0.0000
99,100000,100000,0,0.0000
100,100000,100000,0,0.0000
101,100000,100000,0,0.0000
102,100000,100000,0,0.0000
103,100000,100000,0,0.0000
104,100000,100000,0,0.0000
105,100000,100000,0,0.0000
106,100000,100000,0,0.0000
107,100000,100000,0,0.0000
108,100000,100000,0,0.0000
109,100000,100000,0,0.0000
110,100000,100000,0,0.0000
111,100000,100000,0,0.0000
112,100000,100000,0,0.0000
113,100000,100000,0,0.0000
114,100000,100000,0,0.0000
115,100000,100000,0,0.0000
116,100000,100000,0,0.0000
117,100000,100000,0,0.0000
118,100000,100000,0,0.0000
119,100000,100000,0,0.0000
120,100000,100000,0,0.0000
121,100000,100000,0,0.0000
122,100000,100000,0,0.0000
123,100000,100000,0,0.0000
124,100000,100000,0,0.0000
125,100000,100000,0,0.0000
126,100000,100000,0,0.0000
127,100000,100000,0,0.0000
128,100000,100000,0,0.0000
129,100000,100000,0,0.0000
130,100000,100000,0,0.0000
131,100000,100000,0,0.0000
132,100000,100000,0,0.0000
133,100000,100000,0,0.0000
134,100000,100000,0,0.0000
135,100000,100000,0,0.0000
136,100000,100000,0,0.0000
137,100000,100000,0,0.0000
138,100000,100000,0,0.0000
139,100000,100000,0,0.0000
140,100000,100000,0,0.0000
141,100000,100000,0,0.0000
142,100000,100000,0,0.0000
