Time,Normal,Mutant,Total
0,104,0,104
1,115,0,115
2,121,0,121
3,128,0,128
4,136,0,136
5,147,0,147
6,147,0,147
7,150,0,150
8,158,0,158
9,162,0,162
10,157,0,157
11,169,0,169
12,172,0,172
13,175,0,175
14,189,0,189
15,199,0,199
16,223,0,223
17,233,0,233
18,245,0,245
19,257,0,257
20,272,0,272
21,294,0,294
22,318,0,318
23,329,0,329
24,353,0,353
25,369,0,369
26,383,0,383
27,405,0,405
28,431,0,431
29,472,0,472
30,483,0,483
31,507,0,507
32,544,0,544
33,568,0,568
34,592,0,592
35,630,0,630
36,644,0,644
37,671,0,671
38,690,0,690
39,701,0,701
40,735,0,735
41,778,0,778
42,810,0,810
43,817,0,817
44,846,0,846
45,863,0,863
46,911,0,911
47,950,0,950
48,1006,0,1006
49,1055,0,1055
50,1086,0,1086
51,1133,0,1133
52,1194,0,1194
53,1246,0,1246
54,1303,0,1303
55,1361,0,1361
56,1415,1,1416
57,1467,1,1468
58,1513,1,1514
59,1602,2,1604
60,1652,2,1654
61,1725,3,1728
62,1793,1,1794
63,1851,1,1852
64,1948,1,1949
65,2038,3,2041
66,2087,3,2090
67,2183,3,2186
68,2243,2,2245
69,2335,2,2337
70,2411,3,2414
71,2555,2,2557
72,2651,3,2654
73,2753,4,2757
74,2866,5,2871
75,2989,6,2995
76,3081,7,3088
77,3178,9,3187
78,3317,9,3326
79,3486,9,3495
80,3662,7,3669
81,3799,8,3807
82,3948,9,3957
83,4152,11,4163
84,4321,14,4335
85,4450,18,4468
86,4594,18,4612
87,4724,20,4744
88,4911,19,4930
89,5076,18,5094
90,5319,19,5338
91,5484,24,5508
92,5718,28,5746
93,5961,35,5996
94,6194,39,6233
95,6407,46,6453
96,6673,50,6723
97,6958,51,7009
98,7256,55,7311
99,7540,66,7606
100,7836,73,7909
101,8143,75,8218
102,8497,76,8573
103,8893,85,8978
104,9206,90,9296
105,9570,106,9676
106,9968,110,10078
107,10354,118,10472
108,10720,127,10847
109,11135,127,11262
110,11679,125,11804
111,12212,131,12343
112,12677,141,12818
113,13185,148,13333
114,13794,160,13954
115,14301,178,14479
116,14949,197,15146
117,15552,210,15762
118,16181,232,16413
119,16757,241,16998
120,17395,275,17670
121,18031,296,18327
122,18798,309,19107
123,19647,328,19975
124,20462,349,20811
125,21285,375,21660
126,22199,397,22596
127,23013,429,23442
128,23993,465,24458
129,24894,485,25379
